Date,Postcode,Latitude,Longitude,municipality,Cases_14_days,tasa_incidencia_14dias_100mil_hab,Cases,tasa_incidencia_100mil_hab
2020-04-08,28070,41.066810,-3.585934,Horcajo de la Sierra-Aoslos,≤ 5,0,≤ 5,2941
2020-04-08,28162,40.638479,-3.452984,Valdeolmos-Alalpardo,6,221,8,295
2020-04-08,28033,40.338815,-3.382981,Campo Real,14,232,18,299
2020-04-08,28156,40.633135,-3.333016,Valdeavero,≤ 5,190,7,665
2020-04-08,28173,40.068790,-3.240828,Villamanrique de Tajo,≤ 5,147,≤ 5,294
2020-04-08,28041,40.568260,-3.504056,Cobeña,16,215,28,375
2020-04-08,28056,40.486210,-4.172051,Fresnedillas de la Oliva,≤ 5,74,≤ 5,221
2020-04-08,28165,40.293699,-3.302257,Valdilecha,9,353,11,431
2020-04-08,28021,40.887585,-3.561936,El Berrueco,6,935,6,935
2020-04-08,28111,40.418864,-3.176012,Pezuela de las Torres,≤ 5,192,≤ 5,385
2020-04-08,28179,40.336631,-3.235698,Villar del Olmo,≤ 5,398,≤ 5,398
2020-04-08,28068,40.672790,-4.087752,Guadarrama,45,285,71,449
2020-04-08,28133,40.363544,-4.403349,San Martín de Valdeiglesias,21,246,47,551
2020-04-08,28152,40.576739,-3.929608,Torrelodones,63,243,99,382
2020-04-08,28022,40.411671,-3.888786,Boadilla del Monte,64,121,173,327
2020-04-08,28150,40.187721,-3.779319,Torrejón de Velasco,8,202,15,380
2020-04-08,28178,40.346574,-4.102071,Villanueva de Perales,≤ 5,311,≤ 5,311
2020-04-08,28146,40.247565,-3.312448,Tielmes,26,1154,28,1243
2020-04-08,28134,40.558924,-3.626146,San Sebastián de los Reyes,216,235,300,327
2020-04-08,28067,40.785066,-3.693256,Guadalix de la Sierra,16,268,23,386
2020-04-08,28073,40.250748,-3.828498,Humanes de Madrid,39,189,73,354
2020-04-08,28052,40.140252,-3.422050,Chinchón,10,194,16,310
2020-04-08,28031,40.301641,-4.442279,Cadalso de los Vidrios,≤ 5,164,≤ 5,164
2020-04-08,28072,40.622610,-3.908228,Hoyo de Manzanares,11,144,19,248
2020-04-08,28149,40.201625,-3.799970,Torrejón de la Calzada,8,93,19,220
2020-04-08,28055,40.183562,-3.107039,Estremera,≤ 5,165,≤ 5,247
2020-04-08,28048,40.425427,-3.263993,Corpa,≤ 5,719,7,1679
2020-04-08,28083,40.553869,-3.326341,Meco,40,286,112,801
2020-04-08,28078,41.047662,-3.582044,Madarcos,≤ 5,0,≤ 5,0
2020-04-08,28183,40.548370,-4.182744,Zarzalejo,≤ 5,124,≤ 5,187
2020-04-08,28014,40.303979,-3.449926,Arganda del Rey,162,280,252,435
2020-04-08,28046,40.692431,-4.025838,Collado Mediano,8,122,11,167
2020-04-08,28053,40.544994,-3.457444,Daganzo de Arriba,16,148,33,305
2020-04-08,28082,40.727503,-3.864488,Manzanares El Real,18,208,24,277
2020-04-08,28027,40.993021,-3.636674,Buitrago del Lozoya,≤ 5,221,11,486
2020-04-08,28157,40.161589,-3.367752,Valdelaguna,≤ 5,121,≤ 5,121
2020-04-08,28163,40.760843,-3.465554,Valdepiélagos,≤ 5,0,≤ 5,0
